Estado,abreviacion,capital,Latitud,Longitud
Aguascalientes,AGS,Aguascalientes,21.77111,-102.35861
Baja California,BCN,Mexicali,32.61327,-115.34228
Baja California Sur,BCS,La Paz,24.0725,-110.36222
Campeche,CAM,Campeche,19.48657,-90.37322
Chiapas,CHP,Tuxtla Gutiérrez,15.34004,-92.67422
Chihuahua,CHI,Chihuahua,28.15096,-106.21278
Ciudad de México,DIF,Ciudad de México,19.39504,-99.18701
Coahuila,COA,Saltillo,25.23892,-103.18592
Colima,COL,Colima,19.14736,-103.72244
Durango,DUR,Durango,24.05718,-104.5332
Guanajuato,GTO,Guanajuato,21.07784,-101.25289
Guerrero,GRO,Chilpancingo de los Bravo,17.36164,-99.46573
Hidalgo,HGO,Pachuca de Soto,20.79916,-98.7459 
Jalisco,JAL,Guadalajara,20.67663,-103.34616
México,MEX,Toluca de Lerdo,19.2879,-99.6468
Michoacán,MIC,Morelia,19.6995,-101.26428
Morelos,MOR,Cuernavaca,18.94315,-99.30873
Nayarit,NAY,Tepic,21.69107,-105.08841
Nuevo León,NLE,Monterrey,25.67693,-100.3137
Oaxaca,OAX,Oaxaca de Juárez,17.11867,-96.7607
Puebla,PUE,Puebla de Zaragoza,18.95652,-98.18664
Querétaro,QRO,Santiago de Querétaro,20.72682,-100.45296
Quintana Roo,ROO,Chetumal,20.5061,-86.94434
San Luis Potosí,SLP,San Luis Potosí,22.24988,-101.23564
Sinaloa,SIN,Culiacán Rosales,24.59119,-107.39151
Sonora,SON,Hermosillo,29.08919,-110.96133
Tabasco,TAB,Villahermosa,18.39529,-93.21301
Tamaulipas,TAM,Ciudad Victoria,22.24632,-97.83534
Tlaxcala,TLX,Tlaxcala de Xicohténcatl,19.32226,-98.2301
Veracruz,VER,Xalapa-Enríquez,19.57105,-96.83564
Yucatán,YUC,Mérida,21.04023,-89.56206
Zacatecas,ZAC,Zacatecas,22.77093,-102.58325
