,AGS,BCN,BCS,CAM,CHP,CHI,DIF,COA,COL,DUR,GTO,GRO,HGO,JAL,MEX,MIC,MOR,NAY,NLE,OAX,PUE,QRO,ROO,SLP,SIN,SON,TAB,TAM,TLX,VER,YUC,ZAC
AGS,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,118
BCN,0,0,1358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,0,0,0,0,0,0
BCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,0,0,0,383,0,0,0,184,0
CHP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,0,0,0,0,0,0,247,0,0,647,0,0
CHI,0,0,0,0,0,0,0,726,0,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,0,0,0,0,0,0
DIF,0,0,0,0,0,0,0,0,0,0,358,0,92,0,64,0,87,0,0,0,132,219,0,0,0,0,0,0,0,0,0,0
COA,0,0,0,0,0,0,0,0,0,506,0,0,0,0,0,0,0,0,87,0,0,0,0,447,0,0,0,0,0,0,0,383
COL,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,0,0,0,0,0,0,463,0,0,0,0,0,0,289
GTO,0,0,0,0,0,0,0,0,0,0,0,0,0,273,340,175,0,0,0,0,0,148,0,192,0,0,0,0,0,0,0,0
GRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0
HGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,144,223,0,0,0,0,0,0,125,278,0,0
JAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,204,0,0,0,0,0,329,0,0,0,0,0,0,0,0
MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,135,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0
MIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0
NAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,0,0,0,0,0,0,0
NLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,284,0,0,0,0
OAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,600,0,0,425,0,0
PUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,174,0,0
QRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0
ROO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,383,0
SLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,0,0,189
SIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,0,0,0,0,0,0
SON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,0,0
TAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,0,0
TLX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0
VER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
